Reaction	Count
['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]']	10
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H][Li]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H][Li]']	9
['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2([O]([Li])[Li])[O][C]12([H])[H]']	9
['[O]=[C]12[O][Li]1[O]2'] -> ['[O][C]1[O][Li][O]1']	9
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]']	8
['[Li]', '[O][C]1[O][Li][O]1'] -> ['[Li][O][C]1[O][Li][O]1']	8
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][Li]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	7
['[Li][O]([Li])[C]12[O][Li]1[O]2'] -> ['[Li][O]1[Li][O]2[Li]3[O][C]312']	7
['[H][C]1([H])[O][C](=[O][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	7
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2(=[O])[O][C]12([H])[H]']	7
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O]([Li])[Li])[O][C]1([H])[H]']	6
['[Li][O]1[Li][O]2[Li][O]([Li])[C]12'] -> ['[Li][O]12[Li][O]3[Li][O]([Li]1)[C]32']	6
['[Li][O]12[Li][O]3[Li][O]([Li]1)[C]32'] -> ['[Li][O]1[Li][O]2[Li][O]([Li])[C]12']	6
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]']	6
['[Li][O][C]([O])[O]'] -> ['[O][C]1[O][Li][O]1']	6
['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[Li][Li]']	6
