Reaction	Count
['[H][C]1([H])[O][C]([O][Li][O]=[C]2[O][C]([H])([H])[C]([H])([H])[O]2)[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]', '[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]']	2
['[H][C]1([H])[O]([Li])[C]2=[O][Li][O]2[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O]([Li])[C]1[O][Li][O]1']	1
['[H][C]1([H])[O][C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O]=[C]([O])[O]([Li])[C]1([H])[H]']	1
['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])=[O][C]1([H])[H]']	1
['[H][C]([H])[C]([H])([H])[O]([Li])[C]1[O][Li][O]1'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]1[O][Li][O]1']	1
['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]']	1
['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])=[O]']	1
['[H][C]1([H])[O][C]([O])[O]([Li][Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li][Li]']	1
['[H][C]1([H])[O]=[C](=[O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])[O]']	1
['[H][C]1([H])[O]=[C]([O])[O]([Li])[C]1([H])[H]'] -> ['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li]']	1
['[H][C]1([H])[O][C](=[O])=[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]']	1
['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])=[O]'] -> ['[H][C]([H])[C]([H])([H])[O]([Li])[C]([O])=[O]']	1
['[H][C]1([H])[O][C]([O])[O][C]1([H])[H]'] -> ['[H][C]1([H])[O][C]2(=[O])[O][C]12([H])[H]']	1
['[Li][O][C]1[O][Li][O]1'] -> ['[Li][O][C]([O])[O][Li]']	1
['[H][C]([H])[C]([H])([H])[O]([Li])[C]([O])=[O]'] -> ['[H][C]([H])[C]([H])([H])[O]([Li])[C](=[O])=[O]']	1
['[H][C]1([H])[O][C]2(=[O])[O][C]12([H])[H]'] -> ['[H][C]1([H])[O][C](=[O])[O][C]1([H])[H]']	1
['[H][C]([H])[C]([H])([H])[O]([Li])[C](=[O])=[O]'] -> ['[H][C]([H])[C]([H])([H])[O][Li]', '[O]=[C]=[O]']	1
['[H][C]([H])[C]([H])([H])[O][C]([O])[O][Li][Li]'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1']	1
['[H][C]1([H])[O][C]2[O][Li][O]2[C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	1
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li]2[Li][O]21']	1
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li]2[Li][O]21'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1']	1
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1'] -> ['[H][C]([H])[C]([H])([H])[O][C]12[O][Li][Li]1[O]2']	1
['[H][C]([H])[C]([H])([H])[O][C]12[O][Li][Li]1[O]2'] -> ['[H][C]([H])[C]([H])([H])[O]=[C]12[O][Li][Li]1[O]2']	1
['[H][C]([H])[C]([H])([H])[O]=[C]12[O][Li][Li]1[O]2'] -> ['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1']	1
['[H][C]([H])[C]([H])([H])[O][C]1[O][Li][Li][O]1'] -> ['[H][C]([H])[C]([H])[H]', '[Li][O][C]([O])[O][Li]']	1
['[Li][O][C]([O])[O][Li]'] -> ['[Li][O][C]1(=[O])[Li][O]1']	1
['[Li][O][C]1(=[O])[Li][O]1'] -> ['[Li][O][C](=[O])[O][Li]']	1
['[H][C]1([H])[O][C]([O][Li])[O][C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li][Li])[O][C]1([H])[H]']	1
['[Li][O][C](=[O])[O][Li]'] -> ['[Li][O][C]([O])[O][Li]']	1
['[H][C]1([H])[O][C]([O])[O]([Li])[C]1([H])[H]', '[Li]'] -> ['[H][C]1([H])[O][C]([O][Li])[O]([Li])[C]1([H])[H]']	1
